BEseecheth	BEseecheth	vvz	BEseecheth	beseech	0
committed	committed	vvn	committed	commit	0
on	on	p-acp	on	on	0
Friday	Friday	np1	Friday	Friday	0
the	the	dt	the	the	0
27th	27th	ord	27th	27th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
January	January	np1	January	January	0
fore	fore	a-acp	before	fore	0
∣	∣	sy	∣	∣	0
going	going	vvg	going	go	0
)	)	)	)	)	0
was	was	vbds	was	be	0
returned	returned	vvn	returned	return	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
;	;	;	;	;	0
and	and	cc	and	and	0
therewithal	therewithal	av	therewithal	therewithal	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
same	same	d	same	same	0
was	was	vbds	was	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Committees	Committees	n2	Committees	committee	0
thought	thought	vvd	thought	think	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
fective	fective	j	fective	fective	0
,	,	,	,	,	0
a	a	dt	a	a	0
new	new	j	new	new	0
Bill	Bill	n1	Bill	bill	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
title	title	n1	title	title	0
was	was	vbds	was	be	0
likewise	likewise	av	likewise	likewise	0
presented	presented	vvn	presented	present	0
.	.	.	.	.	1
Two	Two	crd	Two	two	0
Bills	Bills	n2	Bills	bill	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
great	great	j	great	great	0
moment	moment	n1	moment	moment	0
had	had	vhd	had	have	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
one	one	crd	one	one	0
reading	reading	vvg	reading	read	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
second	second	ord	second	second	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
confirmation	confirmation	n1	confirmation	confirmation	0
of	of	pp-f	of	of	0
Statutes	Statutes	n2	Statutes	statute	0
Merchant	Merchant	n1	Merchant	merchant	0
acknowledged	acknowledged	vvn	acknowledged	acknowledge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Town	Town	n1	Town	town	0
Corporate	Corporate	j	Corporate	corporate	0
of	of	pp-f	of	of	0
New	New	j	New	new	0
∣	∣	sy	∣	∣	0
castle	castle	n1	castle	castle	0
upon	upon	p-acp	upon	upon	0
Tine	Tine	n1	Tine	tine	0
,	,	,	,	,	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
tertiâ	tertiâ	fw-la	tertiâ	tertiâ	0
vice	vice	fw-la	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
by	by	p-acp	by	by	0
Dr	Dr	zz	Dr	dr	0
Carew	Carew	np1	Carew	Carew	0
and	and	cc	and	and	0
Dr	Dr	zz	Dr	dr	0
Stanhop	Stanhop	np1	Stanhop	Stanhop	0
.	.	.	.	.	1
Seven	Seven	crd	Seven	seven	0
Bills	Bills	n2	Bills	bill	0
were	were	vbdr	were	be	0
sent	sent	vvn	sent	send	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
against	against	p-acp	against	against	0
lewd	lewd	j	lewd	lewd	0
and	and	cc	and	and	0
wandering	wandering	j-vvg	wandering	wander	0
persons	persons	n2	persons	person	0
pretending	pretending	vvg	pretending	pretend	0
themselves	themselves	px32	themselves	themselves	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
or	or	cc	or	or	0
Mari	Mari	np1	Mari	Mari	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
,	,	,	,	,	0
was	was	vbds	was	be	0
returned	returned	vvn	returned	return	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
allowance	allowance	n1	allowance	allowance	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
A	A	np1	A	A	0
∣	∣	sy	∣	∣	0
mendment	mendment	n1	mendment	mendment	0
which	which	q-crq	which	which	0
was	was	vbds	was	be	0
added	added	vvn	added	add	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
Robert	Robert	np1	Robert	Robert	0
Cecill	Cecill	np1	Cecill	Cecill	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Knights	Knights	n2	Knights	knight	0
and	and	cc	and	and	0
Bur	Bur	np1	Bur	Bur	0
∣	∣	sy	∣	∣	0
gesses	gesses	n2	guesses	guess	0
that	that	cst	that	that	0
brought	brought	vvd	brought	bring	0
the	the	dt	the	the	0
seven	seven	crd	seven	seven	0
Bills	Bills	n2	Bills	bill	0
last	last	ord	last	last	0
mentioned	mentioned	vvn	mentioned	mention	0
,	,	,	,	,	0
and	and	cc	and	and	0
moved	moved	vvd	moved	move	0
the	the	dt	the	the	0
House	House	n1	House	house	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Conference	Conference	n1	Conference	conference	0
concern	concern	vvb	concern	concern	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
the	the	cs	the	than	0
Bill	Bill	n1	Bill	bill	0
sent	sent	vvd	sent	send	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
Lordships	Lordships	n2	Lordship's	lordship	0
Intituled	Intituled	vvn	Entitled	entitle	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
reforming	reforming	vvg	reforming	reform	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
abuses	abuses	n2	abuses	abuse	0
committed	committed	vvn	committed	commit	0
by	by	p-acp	by	by	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
used	used	vvn	used	use	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
vices	vices	n2	vices	vice	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Wars	Wars	n2	Wars	war	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
Conference	Conference	n1	Conference	conference	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
assented	assented	vvd	assented	assent	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
time	time	n1	time	time	0
and	and	cc	and	and	0
place	place	n1	place	place	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pointed	pointed	vvd	pointed	point	0
to	to	p-acp	to	to	0
Morrow	Morrow	n1	Morrow	morrow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Afternoon	Afternoon	n1	Afternoon	afternoon	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Council	Council	n1	Council	council	0
Chamber	Chamber	n1	Chamber	chamber	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
at	at	p-acp	at	at	0
Whitehall	Whitehall	np1	Whitehall	Whitehall	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
Committees	Committees	n2	Committees	committee	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
formerly	formerly	av-j	formerly	former	0
appoin	appoin	vvi	appoint	appoint	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
on	on	p-acp	on	on	0
Monday	Monday	np1	Monday	Monday	0
the	the	dt	the	the	0
16th	16th	ord	16th	16th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
Ja	Ja	fw-la	Ja	ja	0
∣	∣	sy	∣	∣	0
nuary	nuary	n1	nuary	nuary	0
foregoing	foregoing	vvg	foregoing	forego	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Sussex	Sussex	np1	Sussex	Sussex	0
,	,	,	,	,	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Shrewsbury	Shrewsbury	np1	Shrewsbury	Shrewsbury	0
,	,	,	,	,	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Rutland	Rutland	np1	Rutland	Rutland	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Zouch	Zouch	vvb	Zouch	zouch	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Cobham	Cobham	np1	Cobham	Cobham	0
were	were	vbdr	were	be	0
added	added	vvn	added	add	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
Intituled	Intituled	vvn	Entitled	entitle	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
enabling	enabling	vvg	enabling	enable	0
of	of	pp-f	of	of	0
Edmund	Edmund	np1	Edmund	Edmund	0
Mollineux	Mollineux	np1	Mollineux	Mollineux	0
Esq	Esq	np1	Esq	Esq	0
to	to	pc-acp	to	to	0
sell	sell	vvi	fell	sell	0
the	the	dt	the	the	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
was	was	vbds	was	be	0
returned	returned	vvn	returned	return	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Rutland	Rutland	np1	Rutland	Rutland	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
or	or	cc	or	or	0
Arbitrators	Arbitrators	n2	Arbitrators	arbitrator	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Amendments	Amendments	n2	Amendments	amendment	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
twice	twice	av	twice	twice	0
read	read	vvn	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
greed	greed	vvn	greed	agree	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
engrossed	engrossed	vvn	engrossed	engross	0
.	.	.	.	.	1
(	(	(	(	(	0
Vide	Vide	fw-la	Vide	vide	0
touching	touching	vvg	touching	touch	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
on	on	p-acp	on	on	0
Tuesday	Tuesday	np1	Tuesday	Tuesday	0
the	the	dt	the	the	0
13th	13th	ord	13th	13th	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
Wednesday	Wednesday	np1	Wednesday	Wednesday	0
the	the	dt	the	the	0
14th	14th	ord	14th	14th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
forego	forego	vvi	forego	forgo	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
on	on	p-acp	on	on	0
Thursday	Thursday	np1	Thursday	Thursday	0
the	the	dt	the	the	0
26th	26th	ord	26th	26th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
stant	stant	j	stant	stant	0
January	January	np1	January	January	0
last	last	ord	last	last	0
past	past	vvd	passed	pass	0
.	.	.	.	.	0
)	)	)	)	)	1
A	A	dt	A	a	0
new	new	j	new	new	0
meeting	meeting	n1	meeting	meeting	0
was	was	vbds	was	be	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mittees	mittees	n2	mittees	mittee	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
Intituled	Intituled	vvn	Entitled	entitle	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
refor	refor	j	refor	refor	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
of	of	pp-f	of	of	0
certain	certain	j	certain	certain	0
abuses	abuses	n2	abuses	abuse	0
touching	touching	vvg	touching	touch	0
Wine-Casks	Wine-Casks	n2	Wine-Casks	wine-cask	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
appointed	appointed	vvn	appointed	appoint	0
on	on	p-acp	on	on	0
Thursday	Thursday	np1	Thursday	Thursday	0
the	the	dt	the	the	0
19th	19th	ord	19th	19th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
January	January	np1	January	January	0
foregoing	foregoing	vvg	foregoing	forego	0
)	)	)	)	)	0
and	and	cc	and	and	0
the	the	dt	the	the	0
time	time	n1	time	time	0
and	and	cc	and	and	0
place	place	n1	place	place	0
appointed	appointed	vvn	appointed	appoint	0
to	to	p-acp	to	to	0
Morrow	Morrow	n1	Morrow	morrow	0
Morning	Morning	n1	Morning	morning	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
little	little	j	little	little	0
Chamber	Chamber	n1	Chamber	chamber	0
near	near	av-j	near	near	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sence	sence	n1	sense	sense	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
Tuesday	Tuesday	np1	Tuesday	Tuesday	0
the	the	dt	the	the	0
31th	31th	ord	31th	31th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
January	January	np1	January	January	0
,	,	,	,	,	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mittees	mittees	n2	mittees	mittee	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
concerning	concerning	vvg	concerning	concern	0
Lessees	Lessees	n2	Lessees	lessee	0
and	and	cc	and	and	0
Paten	Paten	np1	Paten	Paten	0
∣	∣	sy	∣	∣	0
tees	tees	n2	tees	tee	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
appointed	appointed	vvn	appointed	appoint	0
on	on	p-acp	on	on	0
Wednesday	Wednesday	np1	Wednesday	Wednesday	0
the	the	dt	the	the	0
25th	25th	ord	25th	25th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
January	January	np1	January	January	0
foregoing	foregoing	vvg	foregoing	forego	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
this	this	d	this	this	0
day	day	n1	day	day	0
appointed	appointed	vvn	appointed	appoint	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
to	to	p-acp	to	to	0
Morrow	Morrow	n1	Morrow	morrow	0
the	the	dt	the	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
following	following	vvg	following	follow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Afternoon	Afternoon	n1	Afternoon	afternoon	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
little	little	j	little	little	0
Chamber	Chamber	n1	Chamber	chamber	0
near	near	av-j	near	near	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Judges	Judges	n2	Judges	judge	0
there	there	a-acp	there	there	0
required	required	vvd	required	require	0
to	to	pc-acp	to	to	0
attend	attend	vvi	attend	attend	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
retailing	retailing	vvg	retailing	retail	0
Broakers	Broakers	n2	Brokers	broker	0
and	and	cc	and	and	0
other	other	n-jn	other	other	0
Pawn	Pawn	vvb	Pawn	pawn	0
∣	∣	sy	∣	∣	0
takers	takers	n2	takers	taker	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
secundâ	secundâ	fw-la	secundâ	secundâ	0
vice	vice	fw-la	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
referr'd	referr'd	vvn	referred	refer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
formerly	formerly	av-j	formerly	former	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
Bill	Bill	n1	Bill	bill	0
(	(	(	(	(	0
on	on	p-acp	on	on	0
Saturday	Saturday	np1	Saturday	Saturday	0
the	the	dt	the	the	0
14th	14th	ord	14th	14th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
Ja	Ja	fw-la	Ja	ja	0
∣	∣	sy	∣	∣	0
nuary	nuary	n1	nuary	nuary	0
foregoing	foregoing	vvg	foregoing	forego	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
Addition	Addition	n1	Addition	addition	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
met	met	vvd	met	meet	0
presently	presently	av-j	presently	present	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
returned	returned	vvd	returned	return	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Amendments	Amendments	n2	Amendments	amendment	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
presently	presently	av-j	presently	present	0
twice	twice	av	twice	twice	0
read	read	vvn	read	read	0
,	,	,	,	,	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
was	was	vbds	was	be	0
commanded	commanded	vvn	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ingrossed	ingrossed	vvn	ingrossed	ingross	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
certain	certain	j	certain	certain	0
abuses	abuses	n2	abuses	abuse	0
touching	touching	vvg	touching	touch	0
Wine-Casks	Wine-Casks	n2	Wine-Casks	wine-cask	0
was	was	vbds	was	be	0
returned	returned	vvn	returned	return	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Nottingham	Nottingham	np1	Nottingham	Nottingham	0
,	,	,	,	,	0
the	the	dt	the	the	0
second	second	ord	second	second	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Amendments	Amendments	n2	Amendments	amendment	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
presently	presently	av-j	presently	present	0
twice	twice	av	twice	twice	0
read	read	vvn	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
commanded	commanded	vvd	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
grossed	grossed	vvn	grossed	gross	0
.	.	.	.	.	1
Three	Three	crd	Three	three	0
Bills	Bills	n2	Bills	bill	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
great	great	j	great	great	0
moment	moment	n1	moment	moment	0
had	had	vhd	had	have	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
one	one	crd	one	one	0
reading	reading	vvg	reading	read	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
last	last	ord	last	last	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
concerning	concerning	vvg	concerning	concern	0
Garret	Garret	np1	Garret	Garret	0
de	de	fw-fr	de	de	0
Malynes	Malynes	n1	Malynes	malynes	0
and	and	cc	and	and	0
John	John	np1	John	John	0
Hun	Hun	zz	Hun	hun	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
Merchant	Merchant	n1	Merchant	merchant	0
Strangers	Strangers	n2	Strangers	stranger	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
primâ	primâ	fw-la	primâ	primâ	0
vice	vice	fw-la	vice	vice	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
establishing	establishing	vvg	establishing	establish	0
a	a	dt	a	a	0
Jointure	Jointure	n1	Jointure	jointure	0
to	to	p-acp	to	to	0
Anne	Anne	zz	Anne	anne	0
Lady	Lady	n1	Lady	lady	0
Wentworth	Wentworth	np1	Wentworth	Wentworth	0
was	was	vbds	was	be	0
returned	returned	vvn	returned	return	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
House	House	n1	House	house	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Amendments	Amendments	n2	Amendments	amendment	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Proviso	Proviso	n1	Proviso	proviso	0
thought	thought	vvd	thought	think	0
meet	meet	vvi	meet	meet	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
Amendments	Amendments	n2	Amendments	amendment	0
and	and	cc	and	and	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
viso	viso	fw-it	viso	viso	0
were	were	vbdr	were	be	0
twice	twice	av	twice	twice	0
read	read	vvn	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
commanded	commanded	vvd	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ingrossed	ingrossed	vvn	ingrossed	ingross	0
.	.	.	.	.	1
A	A	dt	A	a	0
Motion	Motion	n1	Motion	motion	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Com	Com	np1	Com	Com	0
∣	∣	sy	∣	∣	0
mons	mons	fw-la	mons	mons	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
John	John	np1	John	John	0
Fortescue	Fortescue	np1	Fortescue	Fortescue	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
new	new	j	new	new	0
time	time	n1	time	time	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
Conference	Conference	n1	Conference	conference	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
Intituled	Intituled	vvn	Entitled	entitle	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
to	to	pc-acp	to	to	0
reform	reform	vvi	reform	reform	0
sundry	sundry	j	sundry	sundry	0
abuses	abuses	n2	abuses	abuse	0
committed	committed	vvn	committed	commit	0
by	by	p-acp	by	by	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
appointed	appointed	vvn	appointed	appoint	0
some	some	d	some	some	0
other	other	n-jn	other	other	0
meeting	meeting	vvg	meeting	meet	0
this	this	d	this	this	0
Af	Af	pp-f	Of	of	0
∣	∣	sy	∣	∣	0
ternoon	ternoon	n1	ternoon	ternoon	0
for	for	p-acp	for	for	0
preparing	preparing	vvg	preparing	prepare	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Bill	Bill	n1	Bill	bill	0
of	of	pp-f	of	of	0
Accomptants	Accomptants	n2	Accomptants	accomptant	0
in	in	p-acp	in	in	0
readiness	readiness	n1	readiness	readiness	0
to	to	pc-acp	to	to	0
proceed	proceed	vvi	proceed	proceed	0
,	,	,	,	,	0
their	their	po32	their	their	0
Lordships	Lordships	n2	Lordship's	lordship	0
having	having	vhg	having	have	0
considered	considered	vvn	considered	consider	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Motion	Motion	n1	Motion	motion	0
,	,	,	,	,	0
made	made	vvd	made	make	0
Answer	Answer	n1	Answer	answer	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Keeper	Keeper	n1	Keeper	keeper	0
,	,	,	,	,	0
That	That	cst	That	that	0
they	they	pns32	they	they	0
wished	wished	vvd	wished	wish	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
some	some	d	some	some	0
good	good	j	good	good	0
consideration	consideration	n1	consideration	consideration	0
)	)	)	)	)	0
that	that	cst	that	that	0
the	the	dt	the	the	0
appointed	appointed	j-vvn	appointed	appoint	0
time	time	n1	time	time	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
this	this	d	this	this	0
Afternoon	Afternoon	n1	Afternoon	afternoon	0
might	might	vmd	might	may	0
hold	hold	vvi	hold	hold	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
Conference	Conference	n1	Conference	conference	0
,	,	,	,	,	0
sup	sup	vvi	sup	sup	0
∣	∣	sy	∣	∣	0
posing	posing	j	posing	posing	0
that	that	cst	that	that	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
